Siderophore ID	Siderophore name	Siderophore other name	Canonical SMILES	Biosynthetic Type	Kingdom	Theoretical denticity	Count	monomers Number	coverage	Molecular Weight	Ligand Type	Precursor	Siderophore Large Class	Phylum	Hydroxamate	Catecholate	Phenolate	Carboxylate	Carboxylate in Citrate	Alpha-Hydroxycarboxylate	Hydroxyphenyloxazoline	Hydroxyphenylthiazoline	Alpha-Aminocarboxylate	Alpha-Hydroxyimidazole	Alpha-Hydroxycarboxylate in Citrate	Diazeniumdiolate	2-Nitrosophenol	Siderophore Class	Siderophore Small Class	Predicted logS	Predicted diffusion coefficient
SID00001	Thalassosamide	None	CC1CC(=O)N(O)CCCCC(NC(=O)CCC(=O)O)C(=O)OC(C)CC(=O)N(O)CCCCC(NC(=O)CCC(=O)O)C(=O)OC(C)CC(=O)N(O)CCCCC(NC(=O)CCC(=O)O)C(=O)O1	NRPS	Bacteria	6	1	9	1	991.002909	Hydroxamate	Lys derivatives	2	Proteobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	2.1.1	2.1	-3.9	3.33245019334061
SID00002	Vicibactin	None	CC(=O)NC1CCCN(O)C(=O)CC(C)OC(=O)C(NC(C)=O)CCCN(O)C(=O)CC(C)OC(=O)C(NC(C)=O)CCCN(O)C(=O)CC(C)OC1=O	NRPS	Bacteria	6	1	6	1	774.814527	Hydroxamate	Orn derivatives	2	Proteobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	2.1.2	2.1	-3.368	3.67793132438027
SID00003	N,N',N''-triacetylfusarinin C	"N,N',N''-triacetylfusigen; triacetylfusigen; triacetylfusarinin C; N,N',N""-triacetylfusarinine C"	CC(=O)NC1CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC1=O	NRPS	Fungi	6	4	6	1	852.926613	Hydroxamate	Orn derivatives	2	Ascomycota/Basidiomycota	3	0	0	0	0	0	0	0	0	0	0	0	0	2.1.3	2.1	-4.452	3.53839100268862
SID00004	Triacetylfusarinine	Triacetylfusarine; Desferritriacetylfusigen	CC(=O)NC1CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC1=O	NRPS	Bacteria/Fungi	6	2	6	1	852.926613	Hydroxamate	Orn derivatives	2	Ascomycota/Firmicutes	3	0	0	0	0	0	0	0	0	0	0	0	0	2.1.4	2.1	-4.452	3.53839100268862
SID00005	Neurosporin	Neurosporin A	CC(=O)NC1CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC1=O	NRPS	Fungi	6	1	6	1	852.926613	Hydroxamate	Orn derivatives	2	Ascomycota	3	0	0	0	0	0	0	0	0	0	0	0	0	2.1.5	2.1	-4.452	3.53839100268862
SID00006	Deshydroxylferritriacetylfusigen	None	CC(=O)NC1CCCNC(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC1=O	NRPS	Bacteria	4	1	6	1	836.927208	Hydroxamate	Orn derivatives	2	Firmicutes	2	0	0	0	0	0	0	0	0	0	0	0	0	2.1.6	2.1	-4.496	3.56541064715426
SID00007	Fusarinine C	Fusigen, Cyclic fusigen	CC1=CC(=O)N(O)CCCC(N)C(=O)OCCC(C)=CC(=O)N(O)CCCC(N)C(=O)OCCC(C)=CC(=O)N(O)CCCC(N)C(=O)OCC1	NRPS	Fungi	6	7	6	1	726.816312	Hydroxamate	Orn derivatives	2	Ascomycota/Basidiomycota	3	0	0	0	0	0	0	0	0	0	0	0	0	2.1.7	2.1	-3.517	3.77436848246641
SID00008	Vicibactin 7101	None	CC1CC(=O)N(O)CCCC(N)C(=O)OC(C)CC(=O)N(O)CCCC(N)C(=O)OC(C)CC(=O)N(O)CCCC(N)C(=O)O1	NRPS	Bacteria	6	1	6	1	648.704226	Hydroxamate	Orn derivatives	2	Proteobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	2.1.8	2.1	-2.385	3.95315803741615
SID00009	Nicoyamycin A	None	CC1COCC(=O)CCC(=O)N(O)CCCNCOCC(C)OC(=O)CCC(=O)N(O)CCCCCNO1	NIS	Bacteria	4	1	3	1	548.628026	Hydroxamate	Lys derivatives/Orn derivatives	3	Actinobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.1.1	3.1	-2.202	4.23489719616458
SID00010	Nocardamin glucuronide	None	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(OC2OC(C(=O)O)C(O)C(O)C2O)CCCCCN1	NIS	Bacteria	4	1	7	1	776.830409	Hydroxamate	Lys derivatives	3	Actinobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.2.1	3.2	-2.8	3.67407364359953
